WGT,EDUC,LF,FOODHOME,FOODAWAY,FOODDELV,RENT,INCOME,WAGEINC,INTDIVINC,KGINC,SAVING,LIQ,FIN,ASSET,NFIN,DEBT,NETWORTH,TPAY,PIRTOTAL,CONSUMPTION,CONS_P
3027.956121,9,0,600,0,840,0,38804.73447,0,54.04559118,0,6400,13100,258100,957100,699000,195000,762100,1600,0.494784986,19200,0.019278952
3054.900065,9,0,600,0,960,0,38264.27856,0,54.04559118,0,3100,7300,184300,1067300,883000,213000,854300,3700,1.16035116,44400,0.040160487
3163.637766,9,0,600,0,840,0,36102.45491,0,54.04559118,0,0,5200,175200,957200,782000,279000,678200,1800,0.598297264,21600,0.021745642
3166.228463,9,0,600,0,840,0,33508.26653,0,54.04559118,0,49000,51600,93600,828600,735000,549000,279600,2700,0.966925578,32400,0.037582287
3235.624715,9,0,600,0,960,0,35561.999,0,54.04559118,0,5800,7600,34600,825600,791000,223000,602600,1300,0.438670503,15600,0.018115059
236.6347541,12,1,15600,8400,0,0,224829.6593,9836.297595,0,0,35000,40500,140500,1240500,1100000,518700,721800,3667.5,0.195748195,44010,0.030034197
245.848398,12,1,15600,8400,0,0,224829.6593,9836.297595,0,0,35000,42500,142500,1242500,1100000,518700,723800,3667.5,0.195748195,44010,0.02999326
253.103477,12,1,15600,8400,0,0,224829.6593,9944.388778,0,0,35000,41100,141100,1241100,1100000,519700,721400,3567.5,0.190410821,42810,0.029203311
252.908118,12,1,15600,8400,0,0,224829.6593,9836.297595,0,0,35000,44000,144000,1244000,1100000,519700,724300,3567.5,0.190410821,42810,0.029145653
253.8113115,12,1,15600,8400,0,0,224829.6593,9836.297595,0,0,35000,42300,142300,1241300,1099000,518700,722600,3667.5,0.195748195,44010,0.030017809
678.8693075,14,0,3240,2400,0,0,445335.6713,0,326651.5531,41074.6493,3310,10890,60492890,61177590,684700,17580000,43597590,113110.2493,3.047864969,1357322.992,0.022026267
671.8323704,14,0,3360,2400,0,0,461549.3487,0,321030.8116,45398.29659,1410,8480,60671480,61291510,620030,16840000,44451510,108349.0671,2.817009293,1300188.805,0.021054646
619.9533488,14,0,3360,2280,0,0,469115.7315,0,318577.1418,50802.85571,1110,8290,60765290,62086890,1321600,21030000,41056890,135307.6532,3.461175419,1623691.839,0.025955811
691.5135948,14,0,3480,2400,0,0,444254.7595,0,305465.6814,42155.56112,8910,16480,60477480,62720180,2242700,17990000,44730180,115748.2017,3.126535823,1388978.42,0.021989881
671.7729156,14,0,3720,2520,0,0,502623.998,0,381994.2385,47560.12024,6410,14280,60230280,62430180,2199900,18690000,43740180,120252.0228,2.870981646,1443024.273,0.022929604
621.9488539,12,0,0,600,0,5500,152408.5671,0,12970.94188,0,150000,164000,2163000,2203000,40000,0,2203000,0,0,0,0
653.291176,12,0,0,600,0,5500,149165.8317,0,9512.024048,0,150000,165000,1966000,2006000,40000,0,2006000,0,0,0,0
597.169074,12,0,0,600,0,5500,145923.0962,0,6377.37976,0,150000,165000,1960000,2000000,40000,0,2000000,0,0,0,0
611.8923898,12,0,0,600,0,5500,145923.0962,0,6377.37976,0,150000,164000,2314000,2354000,40000,0,2354000,0,0,0,0
612.0693479,12,0,0,600,0,5500,144842.1844,0,5404.559118,0,150000,165000,1960000,2000000,40000,0,2000000,0,0,0,0
7191.481109,8,1,7200,3600,0,800,56207.41483,57288.32665,0,0,0,1100,1100,15100,14000,11000,4100,530,0.113152331,6360,0.089191286
7352.487205,8,1,7200,3600,0,800,58369.23848,57288.32665,0,0,0,1500,1500,15500,14000,10000,5500,530,0.108961504,6360,0.086098085
7270.703541,8,1,7200,3600,0,800,61611.97395,60531.06212,0,0,0,1500,1500,14500,13000,10000,4500,530,0.103226688,6360,0.083561097
7383.866597,8,1,7200,3600,0,800,67016.53307,67016.53307,0,0,0,1600,1600,15600,14000,10000,5600,530,0.094901955,6360,0.07698217
7330.537669,8,1,7200,3600,0,790,59450.1503,60531.06212,0,0,0,1500,1500,15500,14000,11000,4500,530,0.106980386,6360,0.084856401
3486.222888,12,0,6000,2400,0,0,283198.8978,0,39453.28156,101605.7114,45000,184000,5728000,7343000,1615000,111000,7232000,2400,0.101695311,28800,0.003776455
3675.383207,12,0,6000,2400,0,0,264066.7585,0,45938.75251,97282.06413,32000,164000,5022000,6635000,1613000,112000,6523000,1900,0.086341803,22800,0.003304795
3839.762977,12,0,6000,2400,0,0,272714.0531,0,28644.16333,107010.2705,30000,162000,4913000,6527000,1614000,156000,6371000,1900,0.083604053,22800,0.003353082
3695.658306,12,0,6000,2400,0,0,276821.518,0,52424.22345,90796.59319,45000,177000,6010000,7623000,1613000,149000,7474000,2000,0.086698463,24000,0.003038043
3530.778202,12,0,6000,2400,0,0,269687.5,0,28644.16333,97282.06413,41000,176000,5284170,6897170,1613000,106000,6791170,2500,0.111239861,30000,0.004185935
58.66907604,13,1,67000,10000,0,0,13435733.97,1026866.233,230234.2184,8106838.677,0,117000,13436800,70669800,57233000,0,70669800,0,0,0,0
57.86339895,13,1,67000,11000,0,0,14019426.35,1080911.824,225910.5711,8647294.589,0,118000,13614800,73429800,59815000,0,73429800,0,0,0,0
58.18272061,13,1,68000,10000,0,0,13349261.02,969577.9058,204292.3347,8106838.677,0,118000,14356800,76810800,62454000,0,76810800,0,0,0,0
59.45197312,13,1,68000,10000,0,0,14462600.2,1091720.942,206454.1583,8647294.589,0,121000,14347800,73633800,59286000,0,73633800,0,0,0,0
59.19887069,13,1,67000,11000,0,0,13468161.32,1064698.146,214020.5411,8128456.914,0,115000,14570800,74328800,59758000,0,74328800,0,0,0,0
2459.293218,12,0,3600,0,0,1200,39993.73748,0,0,0,0,1500,1500,1500,0,0,1500,0,0,0,0
2472.836416,12,0,3600,0,0,1200,39993.73748,0,0,0,0,1500,1500,1500,0,0,1500,0,0,0,0
2435.570335,12,0,3600,0,0,1200,38912.82565,0,0,0,0,1500,1500,1500,0,0,1500,0,0,0,0
2476.151193,12,0,3600,0,0,1200,39993.73748,0,0,0,0,1500,1500,1500,0,0,1500,0,0,0,0
2441.128129,12,0,3600,0,0,1200,39993.73748,0,0,0,0,1500,1500,1500,0,0,1500,0,0,0,0
3550.941348,12,1,12000,12000,0,0,670165.3307,237800.6012,0,0,0,215000,295000,7331100,7036100,925000,6406100,10200,0.182641498,122400,0.01529758
3645.393885,12,1,12000,12000,0,0,670165.3307,237800.6012,0,0,0,215000,295000,7331100,7036100,926000,6405100,10200,0.182641498,122400,0.01529758
3789.185846,12,1,12000,12000,0,0,670165.3307,237800.6012,0,0,0,215000,295000,7330200,7035200,925000,6405200,10200,0.182641498,122400,0.015299301
3639.105731,12,1,12000,12000,0,0,670165.3307,237800.6012,0,0,0,215000,295000,12191200,11896200,925000,11266200,10200,0.182641498,122400,0.009516875
2203.168361,12,1,12000,12000,0,0,670165.3307,237800.6012,0,0,0,215000,295000,23592100,23297100,926000,22666100,10200,0.182641498,122400,0.005044871
7792.679093,12,1,4200,600,0,0,43236.47295,0,0,0,14100,27950,27950,394750,366800,183400,211350,2016,0.559527601,24192,0.055234583
7003.491699,12,1,4200,600,0,0,43236.47295,0,0,0,14100,27950,27950,397750,369800,183400,214350,2016,0.559527601,24192,0.054858826
7158.275557,12,1,4200,600,0,0,43236.47295,0,0,0,14100,27950,27950,398650,370700,183400,215250,2006,0.556752167,24072,0.05447553
7408.690447,12,1,4200,600,0,0,43236.47295,0,0,0,14100,27950,27950,396350,368400,183400,212950,2016,0.559527601,24192,0.055033541
7082.994739,12,1,4200,600,0,0,43236.47295,0,0,0,14100,27950,27950,396550,368600,183400,213150,2016,0.559527601,24192,0.055008513
1823.136755,13,1,12000,4800,0,0,211858.7174,185916.8337,0,0,10500,20500,20500,506500,486000,182000,324500,1955,0.110734174,23460,0.032657779
1643.773085,13,1,12000,4800,0,0,211858.7174,185916.8337,0,0,10500,20500,20500,505500,485000,182000,323500,1955,0.110734174,23460,0.032703304
1723.310721,13,1,12000,4800,0,0,211858.7174,185916.8337,0,0,10500,20500,20500,506500,486000,182000,324500,2055,0.116398326,24660,0.034328253
1778.57978,13,1,12000,4800,0,0,211858.7174,185916.8337,0,0,10500,20500,20500,506500,486000,182000,324500,2055,0.116398326,24660,0.034328253
1613.729272,13,1,12000,4800,0,0,211858.7174,185916.8337,0,0,10500,20500,20500,506500,486000,182000,324500,1955,0.110734174,23460,0.032657779
6265.227623,9,1,4200,1200,1080,510,42155.56112,34589.17836,0,0,0,1950,1950,11950,10000,10630,1320,245.75,0.069955183,2949,0.054504564
6259.518782,9,1,4200,1200,1080,510,35670.09018,28103.70742,0,0,0,2950,2950,12950,10000,3530,9420,245.75,0.082674307,2949,0.060653939
6296.717404,9,1,4200,1200,1080,510,45398.29659,37831.91383,0,0,0,1550,1550,11550,10000,9430,2120,255.75,0.067601655,3069,0.053890989
6276.21111,9,1,4200,1200,1080,500,51883.76754,43236.47295,0,0,0,2050,4750,14750,10000,9530,5220,245.75,0.056838586,2949,0.04425684
6272.771191,9,1,4200,1200,1080,510,43236.47295,35670.09018,0,0,0,2650,2650,12650,10000,10630,2020,255.75,0.070981738,3069,0.054914899
