
n_households:  100
Initial exploration has been finished!
[2023-05-16 22:04:18.021112] Epoch: 0 / 5000, Frames: 1000, gov_Rewards: 0.067, house_Rewards: 5.673, years:1.000, gov_actor_loss: 439234.469, gov_critic_loss: 53136056320.000, house_actor_loss: 89682.156, house_critic_loss: 51874344960.000
[2023-05-16 22:04:32.710295] Epoch: 1 / 5000, Frames: 2000, gov_Rewards: 0.199, house_Rewards: 2.356, years:1.300, gov_actor_loss: 206813.344, gov_critic_loss: 18251470848.000, house_actor_loss: -80811.672, house_critic_loss: 46095257600.000
[2023-05-16 22:04:47.236023] Epoch: 2 / 5000, Frames: 3000, gov_Rewards: 0.188, house_Rewards: 1.652, years:1.000, gov_actor_loss: 158289.375, gov_critic_loss: 18003136512.000, house_actor_loss: -104798.422, house_critic_loss: 63048335360.000
[2023-05-16 22:05:01.942442] Epoch: 3 / 5000, Frames: 4000, gov_Rewards: 0.453, house_Rewards: -10.270, years:1.000, gov_actor_loss: 119611.000, gov_critic_loss: 10367207424.000, house_actor_loss: -98106.922, house_critic_loss: 53579579392.000
[2023-05-16 22:05:16.462274] Epoch: 4 / 5000, Frames: 5000, gov_Rewards: 0.433, house_Rewards: -10.299, years:1.000, gov_actor_loss: 94865.219, gov_critic_loss: 9920036864.000, house_actor_loss: -78834.484, house_critic_loss: 46952726528.000
[2023-05-16 22:05:30.903442] Epoch: 5 / 5000, Frames: 6000, gov_Rewards: 0.500, house_Rewards: -14.497, years:1.000, gov_actor_loss: 14217.754, gov_critic_loss: 6380451840.000, house_actor_loss: -57208.277, house_critic_loss: 40173162496.000
[2023-05-16 22:05:45.257597] Epoch: 6 / 5000, Frames: 7000, gov_Rewards: 0.499, house_Rewards: -14.621, years:1.000, gov_actor_loss: -230.256, gov_critic_loss: 6437243904.000, house_actor_loss: -30545.664, house_critic_loss: 31566608384.000
[2023-05-16 22:05:59.675719] Epoch: 7 / 5000, Frames: 8000, gov_Rewards: 0.416, house_Rewards: -8.344, years:1.000, gov_actor_loss: -10004.375, gov_critic_loss: 4130787840.000, house_actor_loss: -56738.984, house_critic_loss: 24792858624.000
[2023-05-16 22:06:14.001843] Epoch: 8 / 5000, Frames: 9000, gov_Rewards: 0.417, house_Rewards: -8.321, years:1.000, gov_actor_loss: -3039.955, gov_critic_loss: 4555465728.000, house_actor_loss: -61674.027, house_critic_loss: 27783225344.000
[2023-05-16 22:06:28.573396] Epoch: 9 / 5000, Frames: 10000, gov_Rewards: 0.460, house_Rewards: -11.821, years:1.000, gov_actor_loss: 3379.405, gov_critic_loss: 5418477568.000, house_actor_loss: 28607.945, house_critic_loss: 20800157696.000
[2023-05-16 22:06:43.225383] Epoch: 10 / 5000, Frames: 11000, gov_Rewards: 0.459, house_Rewards: -11.977, years:1.000, gov_actor_loss: 12579.508, gov_critic_loss: 3615371264.000, house_actor_loss: 36690.902, house_critic_loss: 13625319424.000
[2023-05-16 22:06:57.677637] Epoch: 11 / 5000, Frames: 12000, gov_Rewards: 0.484, house_Rewards: -14.280, years:1.000, gov_actor_loss: 23465.410, gov_critic_loss: 3675958016.000, house_actor_loss: 43874.020, house_critic_loss: 16079697920.000
[2023-05-16 22:07:12.017413] Epoch: 12 / 5000, Frames: 13000, gov_Rewards: 0.488, house_Rewards: -14.034, years:1.000, gov_actor_loss: 6441.845, gov_critic_loss: 2995124992.000, house_actor_loss: 43182.914, house_critic_loss: 16288823296.000
[2023-05-16 22:07:26.690343] Epoch: 13 / 5000, Frames: 14000, gov_Rewards: 0.564, house_Rewards: -20.146, years:1.000, gov_actor_loss: -79745.219, gov_critic_loss: 3053106944.000, house_actor_loss: -56926.758, house_critic_loss: 16720398336.000
[2023-05-16 22:07:41.141411] Epoch: 14 / 5000, Frames: 15000, gov_Rewards: 0.566, house_Rewards: -20.187, years:1.000, gov_actor_loss: 26674.395, gov_critic_loss: 3488019712.000, house_actor_loss: 9739.102, house_critic_loss: 13456831488.000
[2023-05-16 22:07:55.499591] Epoch: 15 / 5000, Frames: 16000, gov_Rewards: 0.606, house_Rewards: -24.417, years:1.000, gov_actor_loss: 45031.539, gov_critic_loss: 3895540992.000, house_actor_loss: -24486.426, house_critic_loss: 9757465600.000
[2023-05-16 22:08:10.005149] Epoch: 16 / 5000, Frames: 17000, gov_Rewards: 0.614, house_Rewards: -24.279, years:1.000, gov_actor_loss: -10073.868, gov_critic_loss: 2136726528.000, house_actor_loss: -39679.664, house_critic_loss: 8734704640.000
[2023-05-16 22:08:24.321272] Epoch: 17 / 5000, Frames: 18000, gov_Rewards: 0.612, house_Rewards: -24.018, years:1.000, gov_actor_loss: 1113.662, gov_critic_loss: 2915469568.000, house_actor_loss: 51770.797, house_critic_loss: 15035437056.000
