
n_households:  100
[2023-06-03 01:10:58.345392] Update: 0 / 2000, Frames: 500, Gov_Rewards: 2.414, House_Rewards: 1316.597, years: 210.300, PL: -0.003,VL: 11075.988, Ent: 1.418
[2023-06-03 01:11:06.616026] Update: 1 / 2000, Frames: 1000, Gov_Rewards: 2.998, House_Rewards: 1531.195, years: 240.200, PL: -0.003,VL: 9512.214, Ent: 1.417
[2023-06-03 01:11:11.395590] Update: 2 / 2000, Frames: 1500, Gov_Rewards: 1.230, House_Rewards: 579.266, years: 90.700, PL: -0.004,VL: 10172.766, Ent: 1.416
[2023-06-03 01:11:17.542458] Update: 3 / 2000, Frames: 2000, Gov_Rewards: 1.880, House_Rewards: 951.948, years: 150.500, PL: -0.003,VL: 10182.269, Ent: 1.414
[2023-06-03 01:11:25.106329] Update: 4 / 2000, Frames: 2500, Gov_Rewards: 2.697, House_Rewards: 1325.519, years: 210.300, PL: -0.002,VL: 9652.440, Ent: 1.413
[2023-06-03 01:11:30.236674] Update: 5 / 2000, Frames: 3000, Gov_Rewards: 1.193, House_Rewards: 584.079, years: 90.700, PL: -0.002,VL: 11012.496, Ent: 1.413
[2023-06-03 01:11:37.498724] Update: 6 / 2000, Frames: 3500, Gov_Rewards: 2.200, House_Rewards: 907.507, years: 144.200, PL: -0.001,VL: 10576.718, Ent: 1.412
[2023-06-03 01:11:43.231726] Update: 7 / 2000, Frames: 4000, Gov_Rewards: 1.354, House_Rewards: 493.891, years: 78.300, PL: -0.002,VL: 9276.016, Ent: 1.411
[2023-06-03 01:11:49.490333] Update: 8 / 2000, Frames: 4500, Gov_Rewards: 1.623, House_Rewards: 769.134, years: 120.600, PL: -0.003,VL: 10766.989, Ent: 1.409
[2023-06-03 01:11:55.156328] Update: 9 / 2000, Frames: 5000, Gov_Rewards: 1.771, House_Rewards: 762.811, years: 120.600, PL: -0.003,VL: 10879.070, Ent: 1.408
[2023-06-03 01:12:02.436455] Update: 10 / 2000, Frames: 5500, Gov_Rewards: 2.192, House_Rewards: 1140.444, years: 180.400, PL: -0.003,VL: 10160.702, Ent: 1.407
[2023-06-03 01:12:09.505460] Update: 11 / 2000, Frames: 6000, Gov_Rewards: 2.564, House_Rewards: 1105.548, years: 175.000, PL: -0.002,VL: 10553.568, Ent: 1.407
[2023-06-03 01:12:16.789907] Update: 12 / 2000, Frames: 6500, Gov_Rewards: 2.272, House_Rewards: 1145.994, years: 180.400, PL: -0.003,VL: 9770.472, Ent: 1.406
[2023-06-03 01:12:24.818351] Update: 13 / 2000, Frames: 7000, Gov_Rewards: 3.376, House_Rewards: 1372.890, years: 212.100, PL: -0.002,VL: 9018.004, Ent: 1.406
[2023-06-03 01:12:31.844371] Update: 14 / 2000, Frames: 7500, Gov_Rewards: 1.922, House_Rewards: 956.025, years: 150.500, PL: -0.004,VL: 10329.735, Ent: 1.405
