
n_households:  100
[2023-06-04 12:36:28.648022] Update: 0 / 2000, Frames: 500, Gov_Rewards: -56.915, House_Rewards: 1316.437, years: 210.300, PL: -0.003,VL: 11075.988, Ent: 1.418
[2023-06-04 12:36:36.981733] Update: 1 / 2000, Frames: 1000, Gov_Rewards: -65.047, House_Rewards: 1531.029, years: 240.200, PL: -0.003,VL: 9503.758, Ent: 1.417
[2023-06-04 12:36:41.953702] Update: 2 / 2000, Frames: 1500, Gov_Rewards: -25.876, House_Rewards: 579.212, years: 90.700, PL: -0.003,VL: 10168.509, Ent: 1.416
[2023-06-04 12:36:49.804491] Update: 3 / 2000, Frames: 2000, Gov_Rewards: -49.115, House_Rewards: 1138.536, years: 180.400, PL: -0.002,VL: 10179.332, Ent: 1.414
[2023-06-04 12:36:54.494058] Update: 4 / 2000, Frames: 2500, Gov_Rewards: -9.172, House_Rewards: 228.822, years: 36.700, PL: -0.002,VL: 9494.078, Ent: 1.413
[2023-06-04 12:37:00.960612] Update: 5 / 2000, Frames: 3000, Gov_Rewards: -41.782, House_Rewards: 949.408, years: 150.500, PL: -0.002,VL: 9734.413, Ent: 1.413
[2023-06-04 12:37:08.355062] Update: 6 / 2000, Frames: 3500, Gov_Rewards: -44.069, House_Rewards: 1024.669, years: 161.200, PL: -0.003,VL: 10174.385, Ent: 1.412
[2023-06-04 12:37:14.993645] Update: 7 / 2000, Frames: 4000, Gov_Rewards: -40.195, House_Rewards: 907.959, years: 144.100, PL: -0.003,VL: 10209.287, Ent: 1.412
[2023-06-04 12:37:20.337784] Update: 8 / 2000, Frames: 4500, Gov_Rewards: -25.611, House_Rewards: 584.866, years: 90.800, PL: -0.004,VL: 10296.450, Ent: 1.410
[2023-06-04 12:37:27.255817] Update: 9 / 2000, Frames: 5000, Gov_Rewards: -43.236, House_Rewards: 954.419, years: 150.600, PL: -0.002,VL: 9338.850, Ent: 1.410
[2023-06-04 12:37:32.868048] Update: 10 / 2000, Frames: 5500, Gov_Rewards: -32.199, House_Rewards: 741.346, years: 115.900, PL: -0.002,VL: 10445.874, Ent: 1.409
[2023-06-04 12:37:38.960531] Update: 11 / 2000, Frames: 6000, Gov_Rewards: -33.295, House_Rewards: 760.418, years: 120.600, PL: -0.001,VL: 9104.366, Ent: 1.408
[2023-06-04 12:37:45.964427] Update: 12 / 2000, Frames: 6500, Gov_Rewards: -44.085, House_Rewards: 979.462, years: 155.100, PL: -0.002,VL: 9307.525, Ent: 1.407
[2023-06-04 12:37:52.488935] Update: 13 / 2000, Frames: 7000, Gov_Rewards: -40.846, House_Rewards: 906.857, years: 143.500, PL: -0.001,VL: 9760.937, Ent: 1.406
[2023-06-04 12:37:59.151059] Update: 14 / 2000, Frames: 7500, Gov_Rewards: -42.564, House_Rewards: 1015.770, years: 157.500, PL: -0.002,VL: 10378.345, Ent: 1.405
[2023-06-04 12:38:06.631799] Update: 15 / 2000, Frames: 8000, Gov_Rewards: -54.649, House_Rewards: 1223.218, years: 193.600, PL: -0.003,VL: 9210.134, Ent: 1.404
[2023-06-04 12:38:11.530520] Update: 16 / 2000, Frames: 8500, Gov_Rewards: -24.326, House_Rewards: 578.293, years: 90.700, PL: -0.003,VL: 9331.470, Ent: 1.404
[2023-06-04 12:38:18.349609] Update: 17 / 2000, Frames: 9000, Gov_Rewards: -41.581, House_Rewards: 963.728, years: 150.500, PL: -0.003,VL: 8895.425, Ent: 1.403
[2023-06-04 12:38:25.701387] Update: 18 / 2000, Frames: 9500, Gov_Rewards: -53.160, House_Rewards: 1123.994, years: 180.400, PL: -0.003,VL: 8822.600, Ent: 1.403
[2023-06-04 12:38:31.771548] Update: 19 / 2000, Frames: 10000, Gov_Rewards: -25.625, House_Rewards: 575.476, years: 90.700, PL: -0.000,VL: 9349.692, Ent: 1.403
[2023-06-04 12:38:40.855134] Update: 20 / 2000, Frames: 10500, Gov_Rewards: -60.278, House_Rewards: 1339.453, years: 210.300, PL: -0.004,VL: 9762.924, Ent: 1.402
[2023-06-04 12:38:47.576702] Update: 21 / 2000, Frames: 11000, Gov_Rewards: -33.647, House_Rewards: 781.174, years: 123.200, PL: -0.002,VL: 8840.636, Ent: 1.401
[2023-06-04 12:38:52.063968] Update: 22 / 2000, Frames: 11500, Gov_Rewards: -18.546, House_Rewards: 385.234, years: 60.800, PL: -0.003,VL: 8418.334, Ent: 1.400
[2023-06-04 12:38:57.981465] Update: 23 / 2000, Frames: 12000, Gov_Rewards: -21.450, House_Rewards: 475.899, years: 76.200, PL: -0.002,VL: 9568.381, Ent: 1.399
[2023-06-04 12:39:04.161083] Update: 24 / 2000, Frames: 12500, Gov_Rewards: -24.986, House_Rewards: 569.288, years: 90.900, PL: -0.003,VL: 8653.194, Ent: 1.398
[2023-06-04 12:39:14.569607] Update: 25 / 2000, Frames: 13000, Gov_Rewards: -75.499, House_Rewards: 1684.159, years: 262.400, PL: -0.003,VL: 8801.635, Ent: 1.397
[2023-06-04 12:39:22.779997] Update: 26 / 2000, Frames: 13500, Gov_Rewards: -50.529, House_Rewards: 1126.043, years: 180.400, PL: -0.001,VL: 9980.423, Ent: 1.396
[2023-06-04 12:39:30.478453] Update: 27 / 2000, Frames: 14000, Gov_Rewards: -53.867, House_Rewards: 1208.267, years: 193.100, PL: -0.002,VL: 8767.678, Ent: 1.396
[2023-06-04 12:39:39.561927] Update: 28 / 2000, Frames: 14500, Gov_Rewards: -68.092, House_Rewards: 1531.734, years: 240.200, PL: -0.002,VL: 8863.302, Ent: 1.396
[2023-06-04 12:39:47.530468] Update: 29 / 2000, Frames: 15000, Gov_Rewards: -59.098, House_Rewards: 1328.208, years: 208.900, PL: -0.003,VL: 8901.908, Ent: 1.394
[2023-06-04 12:39:55.804838] Update: 30 / 2000, Frames: 15500, Gov_Rewards: -51.247, House_Rewards: 1134.470, years: 180.400, PL: -0.002,VL: 8782.137, Ent: 1.393
[2023-06-04 12:40:04.305260] Update: 31 / 2000, Frames: 16000, Gov_Rewards: -54.170, House_Rewards: 1203.923, years: 188.900, PL: -0.002,VL: 8249.407, Ent: 1.393
[2023-06-04 12:40:12.515262] Update: 32 / 2000, Frames: 16500, Gov_Rewards: -50.067, House_Rewards: 1134.075, years: 180.400, PL: -0.003,VL: 8820.468, Ent: 1.393
[2023-06-04 12:40:21.256475] Update: 33 / 2000, Frames: 17000, Gov_Rewards: -60.020, House_Rewards: 1322.814, years: 210.300, PL: -0.002,VL: 8094.460, Ent: 1.392
[2023-06-04 12:40:26.527566] Update: 34 / 2000, Frames: 17500, Gov_Rewards: -24.096, House_Rewards: 557.888, years: 88.600, PL: -0.005,VL: 10226.247, Ent: 1.391
[2023-06-04 12:40:34.327434] Update: 35 / 2000, Frames: 18000, Gov_Rewards: -50.011, House_Rewards: 1148.944, years: 180.900, PL: -0.003,VL: 8366.562, Ent: 1.390
[2023-06-04 12:40:39.356171] Update: 36 / 2000, Frames: 18500, Gov_Rewards: -24.803, House_Rewards: 577.097, years: 90.700, PL: -0.002,VL: 8974.607, Ent: 1.390
[2023-06-04 12:40:46.828185] Update: 37 / 2000, Frames: 19000, Gov_Rewards: -49.287, House_Rewards: 1148.524, years: 180.400, PL: -0.003,VL: 9110.305, Ent: 1.390
[2023-06-04 12:40:52.014948] Update: 38 / 2000, Frames: 19500, Gov_Rewards: -25.751, House_Rewards: 576.985, years: 90.700, PL: -0.003,VL: 8654.340, Ent: 1.389
[2023-06-04 12:41:01.381772] Update: 39 / 2000, Frames: 20000, Gov_Rewards: -78.260, House_Rewards: 1696.306, years: 270.100, PL: -0.001,VL: 8148.475, Ent: 1.388
[2023-06-04 12:41:07.587701] Update: 40 / 2000, Frames: 20500, Gov_Rewards: -26.801, House_Rewards: 575.841, years: 90.700, PL: -0.003,VL: 8988.683, Ent: 1.388
[2023-06-04 12:41:12.899655] Update: 41 / 2000, Frames: 21000, Gov_Rewards: -17.629, House_Rewards: 377.709, years: 60.800, PL: -0.001,VL: 8399.078, Ent: 1.386
[2023-06-04 12:41:18.621779] Update: 42 / 2000, Frames: 21500, Gov_Rewards: -34.647, House_Rewards: 765.873, years: 120.600, PL: -0.002,VL: 7421.615, Ent: 1.386
[2023-06-04 12:41:25.947687] Update: 43 / 2000, Frames: 22000, Gov_Rewards: -52.517, House_Rewards: 1142.490, years: 180.400, PL: -0.002,VL: 8707.990, Ent: 1.385
[2023-06-04 12:41:31.701688] Update: 44 / 2000, Frames: 22500, Gov_Rewards: -20.755, House_Rewards: 506.436, years: 80.300, PL: -0.004,VL: 8795.873, Ent: 1.384
[2023-06-04 12:41:38.404594] Update: 45 / 2000, Frames: 23000, Gov_Rewards: -43.352, House_Rewards: 979.353, years: 150.500, PL: -0.002,VL: 8124.366, Ent: 1.384
[2023-06-04 12:41:46.493461] Update: 46 / 2000, Frames: 23500, Gov_Rewards: -64.456, House_Rewards: 1428.499, years: 224.100, PL: -0.002,VL: 9087.983, Ent: 1.383
[2023-06-04 12:41:54.081128] Update: 47 / 2000, Frames: 24000, Gov_Rewards: -56.528, House_Rewards: 1256.741, years: 200.000, PL: -0.002,VL: 8328.901, Ent: 1.384
[2023-06-04 12:42:02.284558] Update: 48 / 2000, Frames: 24500, Gov_Rewards: -59.288, House_Rewards: 1330.938, years: 211.100, PL: -0.002,VL: 8749.979, Ent: 1.382
[2023-06-04 12:42:08.070900] Update: 49 / 2000, Frames: 25000, Gov_Rewards: -33.532, House_Rewards: 761.233, years: 120.600, PL: 0.002,VL: 7909.216, Ent: 1.382
[2023-06-04 12:42:15.282945] Update: 50 / 2000, Frames: 25500, Gov_Rewards: -49.508, House_Rewards: 1144.692, years: 180.400, PL: -0.002,VL: 8044.715, Ent: 1.381
[2023-06-04 12:42:23.543904] Update: 51 / 2000, Frames: 26000, Gov_Rewards: -51.496, House_Rewards: 1146.360, years: 180.400, PL: -0.001,VL: 8123.188, Ent: 1.380
[2023-06-04 12:42:28.555071] Update: 52 / 2000, Frames: 26500, Gov_Rewards: -25.875, House_Rewards: 579.862, years: 90.700, PL: -0.004,VL: 8236.020, Ent: 1.379
[2023-06-04 12:42:35.002522] Update: 53 / 2000, Frames: 27000, Gov_Rewards: -29.288, House_Rewards: 654.080, years: 103.600, PL: -0.002,VL: 7981.833, Ent: 1.378
[2023-06-04 12:42:43.785013] Update: 54 / 2000, Frames: 27500, Gov_Rewards: -54.522, House_Rewards: 1286.926, years: 202.800, PL: -0.003,VL: 8294.498, Ent: 1.377
[2023-06-04 12:42:51.763555] Update: 55 / 2000, Frames: 28000, Gov_Rewards: -59.407, House_Rewards: 1324.225, years: 210.300, PL: -0.001,VL: 7215.400, Ent: 1.376
[2023-06-04 12:42:59.609052] Update: 56 / 2000, Frames: 28500, Gov_Rewards: -41.505, House_Rewards: 949.530, years: 150.500, PL: -0.001,VL: 8267.144, Ent: 1.376
[2023-06-04 12:43:07.067313] Update: 57 / 2000, Frames: 29000, Gov_Rewards: -50.991, House_Rewards: 1153.637, years: 180.500, PL: -0.001,VL: 8114.175, Ent: 1.375
[2023-06-04 12:43:12.650739] Update: 58 / 2000, Frames: 29500, Gov_Rewards: -35.310, House_Rewards: 771.242, years: 120.600, PL: -0.001,VL: 7192.607, Ent: 1.374
[2023-06-04 12:43:21.243784] Update: 59 / 2000, Frames: 30000, Gov_Rewards: -65.687, House_Rewards: 1532.814, years: 240.200, PL: -0.002,VL: 8068.936, Ent: 1.374
[2023-06-04 12:43:30.753653] Update: 60 / 2000, Frames: 30500, Gov_Rewards: -78.902, House_Rewards: 1733.883, years: 270.200, PL: -0.002,VL: 7792.322, Ent: 1.373
[2023-06-04 12:43:37.964597] Update: 61 / 2000, Frames: 31000, Gov_Rewards: -50.262, House_Rewards: 1138.434, years: 180.400, PL: -0.004,VL: 7114.324, Ent: 1.373
[2023-06-04 12:43:46.640418] Update: 62 / 2000, Frames: 31500, Gov_Rewards: -67.576, House_Rewards: 1520.125, years: 240.200, PL: -0.002,VL: 7608.909, Ent: 1.372
[2023-06-04 12:43:53.076939] Update: 63 / 2000, Frames: 32000, Gov_Rewards: -42.215, House_Rewards: 929.925, years: 150.500, PL: -0.003,VL: 6994.404, Ent: 1.372
[2023-06-04 12:43:59.732353] Update: 64 / 2000, Frames: 32500, Gov_Rewards: -42.011, House_Rewards: 972.566, years: 150.500, PL: -0.001,VL: 7303.446, Ent: 1.371
[2023-06-04 12:44:05.978198] Update: 65 / 2000, Frames: 33000, Gov_Rewards: -35.059, House_Rewards: 769.522, years: 120.600, PL: -0.003,VL: 7782.147, Ent: 1.371
[2023-06-04 12:44:12.460491] Update: 66 / 2000, Frames: 33500, Gov_Rewards: -42.202, House_Rewards: 976.324, years: 151.900, PL: -0.003,VL: 7534.676, Ent: 1.369
[2023-06-04 12:44:21.896623] Update: 67 / 2000, Frames: 34000, Gov_Rewards: -61.413, House_Rewards: 1375.473, years: 218.900, PL: -0.004,VL: 6704.595, Ent: 1.367
[2023-06-04 12:44:25.472653] Update: 68 / 2000, Frames: 34500, Gov_Rewards: -8.460, House_Rewards: 193.923, years: 30.900, PL: -0.002,VL: 7421.966, Ent: 1.366
[2023-06-04 12:44:34.008121] Update: 69 / 2000, Frames: 35000, Gov_Rewards: -58.566, House_Rewards: 1330.013, years: 210.300, PL: -0.002,VL: 7523.225, Ent: 1.364
[2023-06-04 12:44:39.714910] Update: 70 / 2000, Frames: 35500, Gov_Rewards: -34.348, House_Rewards: 761.849, years: 120.600, PL: -0.003,VL: 7032.687, Ent: 1.364
[2023-06-04 12:44:48.612959] Update: 71 / 2000, Frames: 36000, Gov_Rewards: -55.708, House_Rewards: 1259.314, years: 201.400, PL: -0.003,VL: 7994.889, Ent: 1.362
[2023-06-04 12:44:55.507897] Update: 72 / 2000, Frames: 36500, Gov_Rewards: -42.717, House_Rewards: 955.590, years: 150.500, PL: -0.002,VL: 7376.992, Ent: 1.361
[2023-06-04 12:45:02.382462] Update: 73 / 2000, Frames: 37000, Gov_Rewards: -44.930, House_Rewards: 951.113, years: 150.500, PL: -0.002,VL: 6675.078, Ent: 1.360
[2023-06-04 12:45:11.897699] Update: 74 / 2000, Frames: 37500, Gov_Rewards: -59.640, House_Rewards: 1317.268, years: 210.300, PL: -0.002,VL: 7053.512, Ent: 1.359
[2023-06-04 12:45:19.967977] Update: 75 / 2000, Frames: 38000, Gov_Rewards: -60.637, House_Rewards: 1358.768, years: 213.800, PL: -0.003,VL: 6573.551, Ent: 1.359
[2023-06-04 12:45:25.452829] Update: 76 / 2000, Frames: 38500, Gov_Rewards: -16.852, House_Rewards: 388.341, years: 62.100, PL: -0.002,VL: 7537.474, Ent: 1.358
[2023-06-04 12:45:34.758195] Update: 77 / 2000, Frames: 39000, Gov_Rewards: -56.568, House_Rewards: 1338.283, years: 210.300, PL: 0.000,VL: 6794.121, Ent: 1.357
[2023-06-04 12:45:43.596689] Update: 78 / 2000, Frames: 39500, Gov_Rewards: -70.518, House_Rewards: 1530.455, years: 240.200, PL: -0.001,VL: 6604.465, Ent: 1.355
[2023-06-04 12:45:50.233323] Update: 79 / 2000, Frames: 40000, Gov_Rewards: -35.543, House_Rewards: 771.368, years: 120.600, PL: -0.002,VL: 5961.627, Ent: 1.354
[2023-06-04 12:45:57.868577] Update: 80 / 2000, Frames: 40500, Gov_Rewards: -41.861, House_Rewards: 948.222, years: 150.500, PL: -0.003,VL: 6645.385, Ent: 1.354
[2023-06-04 12:46:04.683343] Update: 81 / 2000, Frames: 41000, Gov_Rewards: -32.851, House_Rewards: 761.862, years: 120.600, PL: -0.001,VL: 7233.526, Ent: 1.353
[2023-06-04 12:46:13.112837] Update: 82 / 2000, Frames: 41500, Gov_Rewards: -51.216, House_Rewards: 1141.735, years: 180.400, PL: -0.002,VL: 7028.834, Ent: 1.352
[2023-06-04 12:46:21.185509] Update: 83 / 2000, Frames: 42000, Gov_Rewards: -60.075, House_Rewards: 1330.464, years: 210.300, PL: -0.001,VL: 7436.413, Ent: 1.352
[2023-06-04 12:46:27.000905] Update: 84 / 2000, Frames: 42500, Gov_Rewards: -34.035, House_Rewards: 772.421, years: 120.600, PL: -0.002,VL: 7047.764, Ent: 1.351
[2023-06-04 12:46:33.112943] Update: 85 / 2000, Frames: 43000, Gov_Rewards: -28.275, House_Rewards: 625.781, years: 100.300, PL: -0.002,VL: 6287.938, Ent: 1.350
[2023-06-04 12:46:39.774733] Update: 86 / 2000, Frames: 43500, Gov_Rewards: -32.687, House_Rewards: 769.780, years: 120.600, PL: -0.002,VL: 6919.458, Ent: 1.349
[2023-06-04 12:46:48.512317] Update: 87 / 2000, Frames: 44000, Gov_Rewards: -66.180, House_Rewards: 1537.016, years: 240.200, PL: -0.002,VL: 6777.505, Ent: 1.348
[2023-06-04 12:46:57.649967] Update: 88 / 2000, Frames: 44500, Gov_Rewards: -67.350, House_Rewards: 1528.027, years: 240.200, PL: -0.003,VL: 6634.781, Ent: 1.346
[2023-06-04 12:47:06.989275] Update: 89 / 2000, Frames: 45000, Gov_Rewards: -75.410, House_Rewards: 1730.542, years: 270.100, PL: -0.002,VL: 6350.512, Ent: 1.345
[2023-06-04 12:47:14.620871] Update: 90 / 2000, Frames: 45500, Gov_Rewards: -42.270, House_Rewards: 939.586, years: 148.600, PL: -0.002,VL: 7105.205, Ent: 1.344
[2023-06-04 12:47:20.296030] Update: 91 / 2000, Frames: 46000, Gov_Rewards: -32.787, House_Rewards: 753.482, years: 120.600, PL: -0.002,VL: 6295.814, Ent: 1.343
[2023-06-04 12:47:26.699150] Update: 92 / 2000, Frames: 46500, Gov_Rewards: -41.593, House_Rewards: 949.348, years: 150.500, PL: -0.002,VL: 7343.011, Ent: 1.343
[2023-06-04 12:47:30.332598] Update: 93 / 2000, Frames: 47000, Gov_Rewards: -9.512, House_Rewards: 212.569, years: 34.500, PL: -0.003,VL: 7114.085, Ent: 1.341
[2023-06-04 12:47:36.795571] Update: 94 / 2000, Frames: 47500, Gov_Rewards: -43.204, House_Rewards: 970.606, years: 154.400, PL: -0.002,VL: 5824.506, Ent: 1.339
[2023-06-04 12:47:45.990126] Update: 95 / 2000, Frames: 48000, Gov_Rewards: -77.543, House_Rewards: 1723.663, years: 270.200, PL: -0.001,VL: 6242.105, Ent: 1.338
[2023-06-04 12:47:50.141209] Update: 96 / 2000, Frames: 48500, Gov_Rewards: -17.363, House_Rewards: 389.946, years: 60.900, PL: -0.003,VL: 6400.763, Ent: 1.336
[2023-06-04 12:47:56.455130] Update: 97 / 2000, Frames: 49000, Gov_Rewards: -42.007, House_Rewards: 955.717, years: 150.500, PL: -0.002,VL: 5912.672, Ent: 1.335
[2023-06-04 12:48:01.447623] Update: 98 / 2000, Frames: 49500, Gov_Rewards: -24.896, House_Rewards: 565.466, years: 90.700, PL: -0.002,VL: 6525.212, Ent: 1.334
[2023-06-04 12:48:06.891693] Update: 99 / 2000, Frames: 50000, Gov_Rewards: -21.663, House_Rewards: 472.877, years: 74.800, PL: -0.001,VL: 6289.809, Ent: 1.333
[2023-06-04 12:48:14.760851] Update: 100 / 2000, Frames: 50500, Gov_Rewards: -49.981, House_Rewards: 1142.593, years: 180.400, PL: -0.002,VL: 6295.312, Ent: 1.332
[2023-06-04 12:48:22.966013] Update: 101 / 2000, Frames: 51000, Gov_Rewards: -57.812, House_Rewards: 1324.261, years: 210.300, PL: -0.002,VL: 6011.280, Ent: 1.331
[2023-06-04 12:48:31.055390] Update: 102 / 2000, Frames: 51500, Gov_Rewards: -56.969, House_Rewards: 1335.641, years: 210.300, PL: -0.001,VL: 5979.175, Ent: 1.330
[2023-06-04 12:48:40.990533] Update: 103 / 2000, Frames: 52000, Gov_Rewards: -65.355, House_Rewards: 1517.859, years: 240.200, PL: -0.001,VL: 5800.835, Ent: 1.329
[2023-06-04 12:48:47.132105] Update: 104 / 2000, Frames: 52500, Gov_Rewards: -36.047, House_Rewards: 765.501, years: 120.600, PL: -0.002,VL: 6060.446, Ent: 1.328
[2023-06-04 12:48:53.194184] Update: 105 / 2000, Frames: 53000, Gov_Rewards: -26.119, House_Rewards: 576.886, years: 90.800, PL: -0.002,VL: 5977.019, Ent: 1.327
[2023-06-04 12:48:58.651177] Update: 106 / 2000, Frames: 53500, Gov_Rewards: -26.201, House_Rewards: 570.877, years: 90.700, PL: -0.003,VL: 5727.642, Ent: 1.326
[2023-06-04 12:49:06.323484] Update: 107 / 2000, Frames: 54000, Gov_Rewards: -51.800, House_Rewards: 1147.310, years: 180.500, PL: -0.001,VL: 5751.967, Ent: 1.325
[2023-06-04 12:49:14.472056] Update: 108 / 2000, Frames: 54500, Gov_Rewards: -53.763, House_Rewards: 1212.009, years: 191.200, PL: -0.002,VL: 6165.048, Ent: 1.324
