
n_households:  100
[2023-06-04 12:36:53.813638] Update: 0 / 2000, Frames: 500, Gov_Rewards: 131644.467, House_Rewards: 1316.445, years: 210.300, PL: -0.003,VL: 11075.988, Ent: 1.418
[2023-06-04 12:37:02.347070] Update: 1 / 2000, Frames: 1000, Gov_Rewards: 153103.802, House_Rewards: 1531.038, years: 240.200, PL: -0.003,VL: 9506.123, Ent: 1.417
[2023-06-04 12:37:07.421278] Update: 2 / 2000, Frames: 1500, Gov_Rewards: 57918.092, House_Rewards: 579.181, years: 90.700, PL: -0.004,VL: 10173.928, Ent: 1.416
[2023-06-04 12:37:15.436859] Update: 3 / 2000, Frames: 2000, Gov_Rewards: 113845.483, House_Rewards: 1138.455, years: 180.400, PL: -0.003,VL: 10179.375, Ent: 1.414
[2023-06-04 12:37:19.226143] Update: 4 / 2000, Frames: 2500, Gov_Rewards: 22879.935, House_Rewards: 228.799, years: 36.700, PL: -0.003,VL: 9493.375, Ent: 1.414
[2023-06-04 12:37:26.408099] Update: 5 / 2000, Frames: 3000, Gov_Rewards: 94933.655, House_Rewards: 949.337, years: 150.500, PL: -0.003,VL: 9736.863, Ent: 1.413
[2023-06-04 12:37:33.595306] Update: 6 / 2000, Frames: 3500, Gov_Rewards: 102462.907, House_Rewards: 1024.629, years: 161.200, PL: -0.004,VL: 10175.937, Ent: 1.413
[2023-06-04 12:37:39.917675] Update: 7 / 2000, Frames: 4000, Gov_Rewards: 90787.817, House_Rewards: 907.878, years: 144.100, PL: -0.003,VL: 10206.479, Ent: 1.413
[2023-06-04 12:37:44.997978] Update: 8 / 2000, Frames: 4500, Gov_Rewards: 58489.589, House_Rewards: 584.896, years: 90.800, PL: -0.004,VL: 10294.772, Ent: 1.411
[2023-06-04 12:37:51.864413] Update: 9 / 2000, Frames: 5000, Gov_Rewards: 95423.553, House_Rewards: 954.236, years: 150.600, PL: -0.002,VL: 9339.619, Ent: 1.411
[2023-06-04 12:37:57.917179] Update: 10 / 2000, Frames: 5500, Gov_Rewards: 74163.635, House_Rewards: 741.636, years: 115.900, PL: -0.002,VL: 10446.942, Ent: 1.410
[2023-06-04 12:38:04.173376] Update: 11 / 2000, Frames: 6000, Gov_Rewards: 76247.811, House_Rewards: 762.478, years: 120.600, PL: -0.001,VL: 9350.288, Ent: 1.409
[2023-06-04 12:38:12.399870] Update: 12 / 2000, Frames: 6500, Gov_Rewards: 117459.792, House_Rewards: 1174.598, years: 184.600, PL: -0.002,VL: 9201.781, Ent: 1.408
[2023-06-04 12:38:19.661276] Update: 13 / 2000, Frames: 7000, Gov_Rewards: 111413.525, House_Rewards: 1114.135, years: 174.500, PL: -0.003,VL: 9282.756, Ent: 1.408
[2023-06-04 12:38:27.953110] Update: 14 / 2000, Frames: 7500, Gov_Rewards: 114666.826, House_Rewards: 1146.668, years: 180.400, PL: -0.002,VL: 10692.941, Ent: 1.407
[2023-06-04 12:38:36.618078] Update: 15 / 2000, Frames: 8000, Gov_Rewards: 114735.012, House_Rewards: 1147.350, years: 180.400, PL: -0.001,VL: 10174.774, Ent: 1.405
[2023-06-04 12:38:47.164735] Update: 16 / 2000, Frames: 8500, Gov_Rewards: 151556.472, House_Rewards: 1515.565, years: 240.200, PL: -0.002,VL: 9364.425, Ent: 1.404
[2023-06-04 12:38:54.790883] Update: 17 / 2000, Frames: 9000, Gov_Rewards: 112541.535, House_Rewards: 1125.415, years: 180.400, PL: -0.003,VL: 9345.432, Ent: 1.403
[2023-06-04 12:39:01.727073] Update: 18 / 2000, Frames: 9500, Gov_Rewards: 84396.304, House_Rewards: 843.963, years: 131.600, PL: -0.002,VL: 9296.099, Ent: 1.403
[2023-06-04 12:39:09.057081] Update: 19 / 2000, Frames: 10000, Gov_Rewards: 94419.202, House_Rewards: 944.192, years: 150.500, PL: -0.002,VL: 10057.692, Ent: 1.401
[2023-06-04 12:39:16.675175] Update: 20 / 2000, Frames: 10500, Gov_Rewards: 99278.540, House_Rewards: 992.785, years: 156.800, PL: -0.003,VL: 9782.325, Ent: 1.400
[2023-06-04 12:39:23.475476] Update: 21 / 2000, Frames: 11000, Gov_Rewards: 100906.181, House_Rewards: 1009.062, years: 160.300, PL: -0.003,VL: 9366.502, Ent: 1.399
[2023-06-04 12:39:31.354671] Update: 22 / 2000, Frames: 11500, Gov_Rewards: 133182.007, House_Rewards: 1331.820, years: 210.300, PL: -0.001,VL: 8881.876, Ent: 1.400
[2023-06-04 12:39:37.184412] Update: 23 / 2000, Frames: 12000, Gov_Rewards: 77491.778, House_Rewards: 774.918, years: 120.600, PL: -0.003,VL: 9066.593, Ent: 1.399
[2023-06-04 12:39:44.612370] Update: 24 / 2000, Frames: 12500, Gov_Rewards: 94866.243, House_Rewards: 948.662, years: 150.500, PL: -0.004,VL: 8678.645, Ent: 1.397
[2023-06-04 12:39:52.789312] Update: 25 / 2000, Frames: 13000, Gov_Rewards: 116692.239, House_Rewards: 1166.922, years: 185.900, PL: -0.002,VL: 9765.318, Ent: 1.397
[2023-06-04 12:39:58.652884] Update: 26 / 2000, Frames: 13500, Gov_Rewards: 56841.221, House_Rewards: 568.412, years: 90.700, PL: -0.002,VL: 8294.547, Ent: 1.396
[2023-06-04 12:40:07.326545] Update: 27 / 2000, Frames: 14000, Gov_Rewards: 128410.359, House_Rewards: 1284.104, years: 201.500, PL: -0.001,VL: 8462.199, Ent: 1.394
[2023-06-04 12:40:14.385990] Update: 28 / 2000, Frames: 14500, Gov_Rewards: 85011.176, House_Rewards: 850.112, years: 133.100, PL: -0.003,VL: 9209.438, Ent: 1.393
[2023-06-04 12:40:21.451096] Update: 29 / 2000, Frames: 15000, Gov_Rewards: 114231.637, House_Rewards: 1142.316, years: 180.500, PL: -0.003,VL: 8627.410, Ent: 1.392
[2023-06-04 12:40:27.898086] Update: 30 / 2000, Frames: 15500, Gov_Rewards: 88630.137, House_Rewards: 886.301, years: 140.000, PL: -0.001,VL: 8018.838, Ent: 1.392
[2023-06-04 12:40:33.673929] Update: 31 / 2000, Frames: 16000, Gov_Rewards: 77028.147, House_Rewards: 770.281, years: 120.600, PL: -0.001,VL: 9198.688, Ent: 1.391
[2023-06-04 12:40:40.177642] Update: 32 / 2000, Frames: 16500, Gov_Rewards: 90683.839, House_Rewards: 906.838, years: 143.600, PL: -0.002,VL: 8236.705, Ent: 1.390
[2023-06-04 12:40:47.377830] Update: 33 / 2000, Frames: 17000, Gov_Rewards: 114586.085, House_Rewards: 1145.861, years: 180.400, PL: -0.002,VL: 8617.099, Ent: 1.390
[2023-06-04 12:40:52.078429] Update: 34 / 2000, Frames: 17500, Gov_Rewards: 47682.434, House_Rewards: 476.824, years: 75.700, PL: -0.002,VL: 8945.763, Ent: 1.389
[2023-06-04 12:40:57.777774] Update: 35 / 2000, Frames: 18000, Gov_Rewards: 75630.117, House_Rewards: 756.301, years: 120.600, PL: -0.003,VL: 8202.010, Ent: 1.389
[2023-06-04 12:41:04.356270] Update: 36 / 2000, Frames: 18500, Gov_Rewards: 93622.070, House_Rewards: 936.221, years: 147.300, PL: -0.002,VL: 9889.884, Ent: 1.388
[2023-06-04 12:41:11.551401] Update: 37 / 2000, Frames: 19000, Gov_Rewards: 114141.100, House_Rewards: 1141.411, years: 180.400, PL: -0.002,VL: 8683.708, Ent: 1.388
[2023-06-04 12:41:19.213183] Update: 38 / 2000, Frames: 19500, Gov_Rewards: 114444.072, House_Rewards: 1144.441, years: 180.400, PL: -0.001,VL: 8468.607, Ent: 1.387
[2023-06-04 12:41:23.448218] Update: 39 / 2000, Frames: 20000, Gov_Rewards: 37532.823, House_Rewards: 375.328, years: 60.800, PL: -0.002,VL: 9246.957, Ent: 1.386
[2023-06-04 12:41:29.911689] Update: 40 / 2000, Frames: 20500, Gov_Rewards: 96331.181, House_Rewards: 963.312, years: 150.500, PL: -0.003,VL: 8446.266, Ent: 1.385
[2023-06-04 12:41:36.353808] Update: 41 / 2000, Frames: 21000, Gov_Rewards: 93642.646, House_Rewards: 936.426, years: 150.600, PL: -0.003,VL: 8538.294, Ent: 1.384
[2023-06-04 12:41:42.526038] Update: 42 / 2000, Frames: 21500, Gov_Rewards: 89940.120, House_Rewards: 899.401, years: 139.700, PL: -0.003,VL: 8719.284, Ent: 1.383
[2023-06-04 12:41:49.384603] Update: 43 / 2000, Frames: 22000, Gov_Rewards: 95544.772, House_Rewards: 955.448, years: 150.500, PL: -0.002,VL: 7939.185, Ent: 1.383
[2023-06-04 12:41:56.298029] Update: 44 / 2000, Frames: 22500, Gov_Rewards: 97301.791, House_Rewards: 973.018, years: 150.500, PL: -0.003,VL: 7990.611, Ent: 1.382
[2023-06-04 12:42:02.223123] Update: 45 / 2000, Frames: 23000, Gov_Rewards: 58534.014, House_Rewards: 585.340, years: 90.700, PL: -0.002,VL: 8962.654, Ent: 1.382
[2023-06-04 12:42:07.315185] Update: 46 / 2000, Frames: 23500, Gov_Rewards: 58616.043, House_Rewards: 586.160, years: 90.800, PL: -0.001,VL: 8023.043, Ent: 1.380
[2023-06-04 12:42:13.430039] Update: 47 / 2000, Frames: 24000, Gov_Rewards: 76082.209, House_Rewards: 760.822, years: 120.600, PL: -0.000,VL: 8104.385, Ent: 1.379
[2023-06-04 12:42:22.281953] Update: 48 / 2000, Frames: 24500, Gov_Rewards: 133068.418, House_Rewards: 1330.684, years: 210.300, PL: -0.003,VL: 8300.019, Ent: 1.379
[2023-06-04 12:42:32.190639] Update: 49 / 2000, Frames: 25000, Gov_Rewards: 170656.352, House_Rewards: 1706.564, years: 270.100, PL: -0.002,VL: 7573.988, Ent: 1.378
[2023-06-04 12:42:37.899766] Update: 50 / 2000, Frames: 25500, Gov_Rewards: 77137.264, House_Rewards: 771.373, years: 120.600, PL: -0.003,VL: 7842.294, Ent: 1.377
[2023-06-04 12:42:43.565705] Update: 51 / 2000, Frames: 26000, Gov_Rewards: 77196.150, House_Rewards: 771.961, years: 120.600, PL: -0.002,VL: 7933.338, Ent: 1.376
[2023-06-04 12:42:48.726153] Update: 52 / 2000, Frames: 26500, Gov_Rewards: 60504.426, House_Rewards: 605.044, years: 94.400, PL: -0.004,VL: 7518.715, Ent: 1.375
[2023-06-04 12:42:57.108787] Update: 53 / 2000, Frames: 27000, Gov_Rewards: 116385.202, House_Rewards: 1163.852, years: 180.400, PL: -0.003,VL: 7465.814, Ent: 1.374
[2023-06-04 12:43:02.968863] Update: 54 / 2000, Frames: 27500, Gov_Rewards: 76397.823, House_Rewards: 763.978, years: 120.600, PL: -0.002,VL: 8118.275, Ent: 1.373
[2023-06-04 12:43:10.867382] Update: 55 / 2000, Frames: 28000, Gov_Rewards: 133690.121, House_Rewards: 1336.901, years: 210.300, PL: -0.002,VL: 8080.514, Ent: 1.372
[2023-06-04 12:43:19.735004] Update: 56 / 2000, Frames: 28500, Gov_Rewards: 131383.779, House_Rewards: 1313.838, years: 206.700, PL: -0.001,VL: 6523.699, Ent: 1.371
[2023-06-04 12:43:27.689226] Update: 57 / 2000, Frames: 29000, Gov_Rewards: 114636.923, House_Rewards: 1146.369, years: 180.400, PL: -0.001,VL: 7199.073, Ent: 1.370
