"Step","rule_based-run236  n=100 - GDP","rule_based-run236  n=100 - GDP__MIN","rule_based-run236  n=100 - GDP__MAX","independent_ppo-run5  n=100 - GDP","independent_ppo-run5  n=100 - GDP__MIN","independent_ppo-run5  n=100 - GDP__MAX","independent_ppo-run4  n=10 - GDP","independent_ppo-run4  n=10 - GDP__MIN","independent_ppo-run4  n=10 - GDP__MAX","bmfac-run106  n=100 - GDP","bmfac-run106  n=100 - GDP__MIN","bmfac-run106  n=100 - GDP__MAX","maddpg-run36  n=100 - GDP","maddpg-run36  n=100 - GDP__MIN","maddpg-run36  n=100 - GDP__MAX","bmfac-run112  n=10 - GDP","bmfac-run112  n=10 - GDP__MIN","bmfac-run112  n=10 - GDP__MAX","rule_based-run235  n=10 - GDP","rule_based-run235  n=10 - GDP__MIN","rule_based-run235  n=10 - GDP__MAX","maddpg-run35  n=10 - GDP","maddpg-run35  n=10 - GDP__MIN","maddpg-run35  n=10 - GDP__MAX"
"0","765431.2131595248","765431.2131595248","765431.2131595248","669416.9369150474","669416.9369150474","669416.9369150474","176345.41726100573","176345.41726100573","176345.41726100573","622186.617653841","622186.617653841","622186.617653841","3557941.8522043102","3557941.8522043102","3557941.8522043102","536868.8470362369","536868.8470362369","536868.8470362369","7938563.15045918","7938563.15045918","7938563.15045918","332586.08925749524","332586.08925749524","332586.08925749524"
"1","780915.9795724492","780915.9795724492","780915.9795724492","714812.8059545737","714812.8059545737","714812.8059545737","326686.9079653805","326686.9079653805","326686.9079653805","732623.0526941412","732623.0526941412","732623.0526941412","3501015.6864909264","3501015.6864909264","3501015.6864909264","379706.3630616733","379706.3630616733","379706.3630616733","7979853.225040595","7979853.225040595","7979853.225040595","342993.42309991096","342993.42309991096","342993.42309991096"
"2","782123.7049535561","782123.7049535561","782123.7049535561","697256.4796656363","697256.4796656363","697256.4796656363","175522.58600062886","175522.58600062886","175522.58600062886","773985.8109895872","773985.8109895872","773985.8109895872","3253671.8909146828","3253671.8909146828","3253671.8909146828","206921.77804800536","206921.77804800536","206921.77804800536","8321766.044141017","8321766.044141017","8321766.044141017","339421.0143083977","339421.0143083977","339421.0143083977"
"3","727195.053984721","727195.053984721","727195.053984721","673457.5346033952","673457.5346033952","673457.5346033952","163633.8830408637","163633.8830408637","163633.8830408637","812366.0251405434","812366.0251405434","812366.0251405434","3523380.717106796","3523380.717106796","3523380.717106796","281513.1965557503","281513.1965557503","281513.1965557503","7183347.894674234","7183347.894674234","7183347.894674234","4587179.573125665","4587179.573125665","4587179.573125665"
"4","743116.2133004762","743116.2133004762","743116.2133004762","679490.0141309171","679490.0141309171","679490.0141309171","231302.52325606276","231302.52325606276","231302.52325606276","765783.2028549054","765783.2028549054","765783.2028549054","3547611.061792288","3547611.061792288","3547611.061792288","236706.25428119552","236706.25428119552","236706.25428119552","9735552.609602965","9735552.609602965","9735552.609602965","4526652.613868933","4526652.613868933","4526652.613868933"
"5","772778.4052213433","772778.4052213433","772778.4052213433","704483.9237279271","704483.9237279271","704483.9237279271","285528.643108462","285528.643108462","285528.643108462","697203.3555022933","697203.3555022933","697203.3555022933","3468337.39342079","3468337.39342079","3468337.39342079","320265.7755986961","320265.7755986961","320265.7755986961","8195209.8711965","8195209.8711965","8195209.8711965","369819.003040654","369819.003040654","369819.003040654"
"6","759001.2414014501","759001.2414014501","759001.2414014501","636585.5714887684","636585.5714887684","636585.5714887684","235969.96468423356","235969.96468423356","235969.96468423356","657743.1719737446","657743.1719737446","657743.1719737446","3399733.75887251","3399733.75887251","3399733.75887251","311303.40004043287","311303.40004043287","311303.40004043287","8729230.694179352","8729230.694179352","8729230.694179352","348249.69210752856","348249.69210752856","348249.69210752856"
"7","1193307.62706578","1193307.62706578","1193307.62706578","673280.9069942973","673280.9069942973","673280.9069942973","249959.073167484","249959.073167484","249959.073167484","638632.9387108332","638632.9387108332","638632.9387108332","3551373.977853198","3551373.977853198","3551373.977853198","353511.67549148994","353511.67549148994","353511.67549148994","6750787.193744205","6750787.193744205","6750787.193744205","339918.4898305012","339918.4898305012","339918.4898305012"
"8","1373162.299159311","1373162.299159311","1373162.299159311","690415.0736947485","690415.0736947485","690415.0736947485","223810.41369104313","223810.41369104313","223810.41369104313","687996.2553912974","687996.2553912974","687996.2553912974","3675006.443919187","3675006.443919187","3675006.443919187","338111.6976952904","338111.6976952904","338111.6976952904","7493315.62697677","7493315.62697677","7493315.62697677","346105.39753619453","346105.39753619453","346105.39753619453"
"9","773691.1015492494","773691.1015492494","773691.1015492494","692220.7458827753","692220.7458827753","692220.7458827753","268210.6146796804","268210.6146796804","268210.6146796804","663922.6681271353","663922.6681271353","663922.6681271353","3466626.9352245396","3466626.9352245396","3466626.9352245396","373540.8000653471","373540.8000653471","373540.8000653471","8514563.636339542","8514563.636339542","8514563.636339542","325022.8050058229","325022.8050058229","325022.8050058229"
"10","768516.0077135992","768516.0077135992","768516.0077135992","659446.0723904341","659446.0723904341","659446.0723904341","197002.94501573418","197002.94501573418","197002.94501573418","683008.0445268998","683008.0445268998","683008.0445268998","3713690.923876396","3713690.923876396","3713690.923876396","361749.2818699427","361749.2818699427","361749.2818699427","8925256.585478166","8925256.585478166","8925256.585478166","388533.04087927716","388533.04087927716","388533.04087927716"
"11","725820.551861891","725820.551861891","725820.551861891","665996.6592894378","665996.6592894378","665996.6592894378","197235.68350883422","197235.68350883422","197235.68350883422","677006.1651440803","677006.1651440803","677006.1651440803","3566250.515496191","3566250.515496191","3566250.515496191","356164.6952685745","356164.6952685745","356164.6952685745","8623624.928627606","8623624.928627606","8623624.928627606","359708.5155604572","359708.5155604572","359708.5155604572"
"12","725451.136678913","725451.136678913","725451.136678913","705182.3527095837","705182.3527095837","705182.3527095837","320944.19498110376","320944.19498110376","320944.19498110376","664982.4336486934","664982.4336486934","664982.4336486934","3614048.647434873","3614048.647434873","3614048.647434873","380840.1561871687","380840.1561871687","380840.1561871687","8727454.376799928","8727454.376799928","8727454.376799928","4197719.562407601","4197719.562407601","4197719.562407601"
"13","765713.0178045633","765713.0178045633","765713.0178045633","651887.5831984292","651887.5831984292","651887.5831984292","256590.74449361514","256590.74449361514","256590.74449361514","680519.0339188168","680519.0339188168","680519.0339188168","3266734.956080019","3266734.956080019","3266734.956080019","499987.4396359443","499987.4396359443","499987.4396359443","9053329.07430721","9053329.07430721","9053329.07430721","2158905.9498948865","2158905.9498948865","2158905.9498948865"
"14","743745.6113549576","743745.6113549576","743745.6113549576","692683.739601057","692683.739601057","692683.739601057","195804.29060857123","195804.29060857123","195804.29060857123","648939.3026812413","648939.3026812413","648939.3026812413","3558510.3882856467","3558510.3882856467","3558510.3882856467","370122.0449146267","370122.0449146267","370122.0449146267","8211267.101539557","8211267.101539557","8211267.101539557","348266.020227271","348266.020227271","348266.020227271"
"15","740330.0468251479","740330.0468251479","740330.0468251479","918843.237495377","918843.237495377","918843.237495377","190327.8246344322","190327.8246344322","190327.8246344322","594497.6959185902","594497.6959185902","594497.6959185902","3489689.2521606972","3489689.2521606972","3489689.2521606972","478827.1793237913","478827.1793237913","478827.1793237913","9753101.59150297","9753101.59150297","9753101.59150297","3958812.075142549","3958812.075142549","3958812.075142549"
"16","765038.288103016","765038.288103016","765038.288103016","688374.8030400393","688374.8030400393","688374.8030400393","162931.13428801284","162931.13428801284","162931.13428801284","630228.2418441557","630228.2418441557","630228.2418441557","3081518.4829329355","3081518.4829329355","3081518.4829329355","385328.3384200479","385328.3384200479","385328.3384200479","7905735.479329163","7905735.479329163","7905735.479329163","345143.7149685301","345143.7149685301","345143.7149685301"
"17","752914.1404342478","752914.1404342478","752914.1404342478","672091.7985877354","672091.7985877354","672091.7985877354","228928.64795959843","228928.64795959843","228928.64795959843","633394.2128222764","633394.2128222764","633394.2128222764","3549315.741079971","3549315.741079971","3549315.741079971","390768.67570612463","390768.67570612463","390768.67570612463","8524283.632897625","8524283.632897625","8524283.632897625","376116.67817689537","376116.67817689537","376116.67817689537"
"18","768488.6940182999","768488.6940182999","768488.6940182999","671006.9371518051","671006.9371518051","671006.9371518051","215738.23145368806","215738.23145368806","215738.23145368806","618515.4720250693","618515.4720250693","618515.4720250693","3391507.296795286","3391507.296795286","3391507.296795286","392961.99239477643","392961.99239477643","392961.99239477643","7809523.366231379","7809523.366231379","7809523.366231379","354583.3222606663","354583.3222606663","354583.3222606663"
